DATE,HIHOWN
1984-01-01,50.7
1985-01-01,51.0
1986-01-01,50.9
1987-01-01,50.7
1988-01-01,53.2
1989-01-01,54.7
1990-01-01,55.5
1991-01-01,55.2
1992-01-01,53.8
1993-01-01,52.8
1994-01-01,52.3
1995-01-01,50.2
1996-01-01,50.6
1997-01-01,50.2
1998-01-01,52.8
1999-01-01,56.6
2000-01-01,55.2
2001-01-01,55.5
2002-01-01,57.9
2003-01-01,58.3
2004-01-01,60.6
2005-01-01,59.8
2006-01-01,59.9
2007-01-01,60.1
2008-01-01,59.1
2009-01-01,59.5
2010-01-01,56.1
2011-01-01,55.4
2012-01-01,57.2
2013-01-01,57.3
2014-01-01,58.4
2015-01-01,59.3
2016-01-01,57.7
2017-01-01,55.9
2018-01-01,59.5
